relation,at all times,at some time,inverse,reverse at all times,inverse at some timea
bearer of,n/a,n/a,inheres in,n/a,n/a
concretizes ,concretizes at all times,concretizes at some time,is concretized by ,is concretized by at all times,is concretized by at some time
continuant part of ,continuant part of at all times,continuant part of at some time,has continuant part ,has continuant part at all times,has continuant part at some time
environs,n/a,n/a,occurs in,n/a,n/a
first instant of,n/a,n/a,has first instant,n/a,n/a
generically depends on ,generically depends on at all times,generically depends on at some time,is carrier of ,is carrier of at all times,is carrier of at some time
has continuant part ,has continuant part at all times,has continuant part at some time,continuant part of ,continuant part of at all times,continuant part of at some time
has first instant,n/a,n/a,first instant of,n/a,n/a
has history,n/a,n/a,history of,n/a,n/a
has last instant,n/a,n/a,last instant of,n/a,n/a
has location ,has location at all times,has location at some time,located in ,located in at all times,located in at some time
has material basis ,has material basis at all times,has material basis at some time,material basis of ,material basis of at all times,material basis of at some time
has member part ,has member part at all times,has member part at some time,member part of ,member part of at all times,member part of at some time
has occurrent part,n/a,n/a,occurrent part of,n/a,n/a
has participant ,has participant at all times,has participant at some time,participates in ,participates in at all times,participates in at some time
has proper continuant part ,has proper continuant part at all times,has proper continuant part at some time,proper continuant part of ,proper continuant part of at all times,proper continuant part of at some time
has proper occurrent part,n/a,n/a,proper occurrent part of,n/a,n/a
has proper temporal part,n/a,n/a,proper temporal part of,n/a,n/a
has realization ,,,realizes,n/a,n/a
has temporal part,n/a,n/a,temporal part of,n/a,n/a
history of,n/a,n/a,has history,n/a,n/a
inheres in,n/a,n/a,bearer of,n/a,n/a
is carrier of ,is carrier of at all times,is carrier of at some time,generically depends on ,generically depends on at all times,generically depends on at some time
is concretized by ,is concretized by at all times,is concretized by at some time,concretizes ,concretizes at all times,concretizes at some time
last instant of,n/a,n/a,has last instant,n/a,n/a
located in ,located in at all times,located in at some time,has location ,has location at all times,has location at some time
material basis of ,material basis of at all times,material basis of at some time,has material basis ,has material basis at all times,has material basis at some time
member part of ,member part of at all times,member part of at some time,has member part ,has member part at all times,has member part at some time
occupies spatial region ,occupies spatial region at all times,occupies spatial region at some time,n/a,n/a,n/a
occupies spatiotemporal region,n/a,n/a,n/a,n/a,n/a
occupies temporal region,n/a,n/a,n/a,n/a,n/a
occurrent part of,n/a,n/a,has occurrent part,n/a,n/a
occurs in,n/a,n/a,environs,n/a,n/a
participates in ,participates in at all times,participates in at some time,has participant ,has participant at all times,has participant at some time
preceded by,n/a,n/a,precedes,n/a,n/a
precedes,n/a,n/a,preceded by,n/a,n/a
proper continuant part of ,proper continuant part of at all times,proper continuant part of at some time,has proper continuant part ,has proper continuant part at all times,has proper continuant part at some time
proper occurrent part of,n/a,n/a,has proper occurrent part,n/a,n/a
proper temporal part of,n/a,n/a,has proper temporal part,n/a,n/a
realizes,n/a,n/a,has realization,n/a,n/a
spatially projects onto ,spatially projects onto at all times,spatially projects onto at some time,n/a,n/a,n/a
specifically-depended on by,n/a,n/a,specifically-depends on,n/a,n/a
specifically-depends on,n/a,n/a,specifically-depended on by,n/a,n/a
temporal part of,n/a,n/a,has temporal part,n/a,n/a
temporally projects onto,n/a,n/a,n/a,n/a,n/a